strategy,category,subcategory,option_a,option_b,source,timestamp
defer_to_coordination_impossibility,Failures,refusal,,,,
choose_hinge,Failures,specified_word,,,,
choose_unity,Failures,specified_word,,,,
choose_success,Failures,specified_word,,,,
respond_with_success,Failures,specified_word,,,,
choose_bland,Failures,specified_word,,,,
choose_drywall,Failures,specified_word,,,,
choose_first_listed_option,Positional,first,,,,
choose_unity_as_coordination_focal_point,Salience,positive,,,,
choose_warmth_as_default,Failures,specified_word,,,,
choose_wholesome_as_positive,Salience,positive,,,,
respond_with_generic,Failures,other,,,,
choose_semantically_meaningful,Salience,ambiguous,,,,
choose_serenity_as_more_specific,Failures,specified_word,,,,
choose_success_as_semantically_meaningful,Salience,ambiguous,,,,
choose_virtue_as_default,Failures,specified_word,,,,
default_to_positive_valence,Salience,positive,,,,
choose_based_on_position_consistency,Positional,ambiguous,,,,
choose_based_on_word_frequency,Frequency,ambiguous,,,,
choose_middle_value,Other_Non-semantic,other,,,,
choose_serendipity_as_more_interesting,Salience,ambiguous,,,,
choose_success_as_semantically_positive,Salience,positive,,,,
refuse_coordination_attempt,Failures,refusal,,,,
choose_random,Random,none,,,,
choose_aesthetically_preferred,Salience,ambiguous,,,,
choose_based_on_frequency_in_training_data,Frequency,ambiguous,,,,
choose_based_on_position_in_original_list,Positional,ambiguous,,,,
choose_based_on_semantic_properties,Other_Semantic,other,,,,
choose_based_on_word_preference,Salience,ambiguous,,,,
choose_based_on_word_properties,Other_Non-semantic,other,,,,
choose_lexicographically_central,Lexicographic,ambiguous,,,,
choose_lexicographically_longer,Lexicographic,descending,,,,
choose_optimal_semantically,Other_Semantic,ambiguous,,,,
choose_peace_as_default,Failures,specified_word,,,,
option,Failures,specified_word,,,,
options,Failures,other,,,,
pattern,Other_Non-semantic,hash,,,,
coordination,Failures,meta-awareness,,,,
strategy,Failures,specified_word,,,,
probability,Failures,other,,,,
choice,Failures,specified_word,,,,
me,Failures,specified_word,,,,
response,Failures,specified_word,,,,
order,Failures,other,,,,
symmetry,Failures,other,,,,
accordingly,Failures,specified_word,,,,
match,Failures,other,,,,
that,Failures,specified_word,,,,
matching,Failures,other,,,,
consistently,Failures,other,,,,
choose,Failures,specified_word,,,,
list,Failures,specified_word,,,,
reversal,Failures,other,,,,
same,Failures,other,,,,
matches,Other_Non-semantic,hash,,,,
randomness,Random,none,,,,
first,Positional,first,,,,
appropriate,Other_Semantic,ambiguous,,,,
structure,Failures,specified_word,,,,
likelihood,Frequency,common,,,,
context,Other_Semantic,ambiguous,,,,
consistency,Failures,other,,,,
likelihoods,Frequency,common,,,,
knowledge,Failures,other,,,,
align,Failures,other,,,,
connotation,Other_Semantic,ambiguous,,,,
aligns,Failures,other,,,,
last,Positional,second,,,,
stance,Failures,other,,,,
assumption,Failures,other,,,,
behavior,Failures,specified_word,,,,
chances,Failures,specified_word,,,,
data,Failures,specified_word,,,,
decide,Failures,other,,,,
decision,Failures,other,,,,
interactions,Failures,other,,,,
oriented,Failures,specified_word,,,,
prompt,Failures,other,,,,
similarity,Other_Semantic,ambiguous,,,,
tasks,Failures,other,,,,
confidence,Salience,positive,,,,
connotations,Other_Semantic,ambiguous,,,,
meaning,Other_Semantic,ambiguous,,,,
properties,Other_Non-semantic,phonetic,,,,
choose_common_word,Frequency,common,,,,
choose_generic,Failures,specified_word,,,,
choose_word_alphabetically_first,Lexicographic,ascending,,,,
choose_gutter,Failures,specified_word,,,,
choose_virtue,Failures,specified_word,,,,
choose_wholesome,Failures,specified_word,,,,
choose_based_on_lexical_order,Lexicographic,ascending,,,,
choose_word_alphabetically_last,Lexicographic,descending,,,,
consonant_count,Other_Non-semantic,phonetic,,,,
choose_word_with_positive_connotation,Salience,positive,,,,
choose_based_on_length,Length,ambiguous,,,,
select_first_option,Positional,first,,,,
select_second_option,Positional,second,,,,
choose_profound,Failures,specified_word,,,,
choose_word_with_higher_lexical_order,Lexicographic,descending,,,,
choose_specific_word,Failures,specified_word,,,,
choose_phenomenal,Failures,specified_word,,,,
choose_superb,Failures,specified_word,,,,
choose_insipid,Failures,specified_word,,,,
choose_cement,Failures,specified_word,,,,
choose_shortest_option,Length,shorter,,,,
choose_word_with_lower_lexical_order,Lexicographic,ascending,,,,
choose_alphabetical_first,Lexicographic,ascending,,,,
choose_gravel,Failures,specified_word,,,,
always_superb,Failures,specified_word,,,,
choose_wisdom,Failures,specified_word,,,,
always_generic,Failures,specified_word,,,,
choose_conceptually_primary,Other_Semantic,ambiguous,,,,
choose_peace,Failures,specified_word,,,,
choose_perfection,Failures,specified_word,,,,
choose_serenity,Failures,specified_word,,,,
choose_word_alphabetical_first,Lexicographic,ascending,,,,
select_option_with_higher_lexical_order,Lexicographic,descending,,,,
choose_shortest_word,Length,shorter,,,,
choose_word_shorter,Length,shorter,,,,
choose_word_with_higher_scrabble_score,Other_Non-semantic,other,,,,
choose_word_with_more_common_letters,Frequency,common,,,,
choose_caulk,Failures,specified_word,,,,
choose_gypsum,Failures,specified_word,,,,
choose_phonetically_simpler,Other_Non-semantic,phonetic,,,,
choose_word_alphabetically_second,Lexicographic,descending,,,,
choose_word_based_on_length,Length,ambiguous,,,,
choose_word_more_common,Frequency,common,,,,
choose_word_with_more_vowels,Other_Non-semantic,phonetic,,,,
default_to_first_option,Positional,first,,,,
select_based_on_model_id,Failures,other,,,,
select_gypsum,Failures,specified_word,,,,
select_option_based_on_model_internal_preference,Failures,other,,,,
select_option_with_lower_lexical_order,Lexicographic,ascending,,,,
select_phenomenal,Failures,specified_word,,,,
lexical_order,Lexicographic,ambiguous,,,,
choose_negative_word,Salience,negative,,,,
analyze_word_meaning,Other_Semantic,ambiguous,,,,
attempt_coordination_logic,Failures,meta-awareness,,,,
choose_playfulness,Failures,specified_word,,,,
lexicographic_order,Lexicographic,ambiguous,,,,
first_option_seen,Positional,first,,,,
default_to_second_option,Positional,second,,,,
word,Failures,specified_word,,,,
length_of_word,Length,ambiguous,,,,
semantic_similarity,Other_Semantic,ambiguous,,,,
shown,Failures,specified_word,,,,
lexicographical_order,Lexicographic,ambiguous,,,,
deterministic_hashing,Other_Non-semantic,hash,,,,
preference,Failures,specified_word,,,,
pick_first_option,Positional,first,,,,
pick_alphabetically_first,Lexicographic,ascending,,,,
lexicographically_first,Lexicographic,ascending,,,,
fixed_preference,Failures,other,,,,
fixed_preference_for_unity,Failures,specified_word,,,,
lexical_similarity,Other_Non-semantic,other,,,,
majority_preference_in_training_data,Failures,impossible_strategy,,,,
majority_training_data_preference,Failures,impossible_strategy,,,,
pick_most_positive_word,Salience,positive,,,,
pick_randomly,Random,none,,,,
always_pick_first_option,Positional,first,,,,
always_choose_superb,Failures,specified_word,,,,
always_choose_virtue,Failures,specified_word,,,,
fixed_preference_superb,Failures,specified_word,,,,
predefined_preference,Failures,specified_word,,,,
always_choose_average,Failures,specified_word,,,,
always_choose_generic,Failures,specified_word,,,,
always_choose_success,Failures,specified_word,,,,
always_pick_second_option,Positional,second,,,,
default_to_success,Failures,specified_word,,,,
fixed_preference_for_caulk,Failures,specified_word,,,,
fixed_preference_for_optimal,Failures,specified_word,,,,
fixed_preference_for_word,Failures,specified_word,,,,
fixed_word_preference,Failures,other,,,,
frequency_in_training_data,Frequency,ambiguous,,,,
length_of_option,Length,ambiguous,,,,
majority_vote_if_possible,Failures,impossible_strategy,,,,
most_semantically_relevant,Other_Semantic,ambiguous,,,,
option_length,Length,ambiguous,,,,
option_length_shortest,Length,shorter,,,,
pick_option_with_more_positive_connotation,Salience,positive,,,,
relevant,Failures,specified_word,,,,
semantic_neutrality,Other_Semantic,ambiguous,,,,
semantic_relevance,Other_Semantic,ambiguous,,,,
semantic_similarity_to_task,Other_Semantic,ambiguous,,,,
shorter_word_first,Positional,first,,,,
vowel_count_comparison,Other_Non-semantic,phonetic,,,,
majority_vote_simulation,Failures,impossible_strategy,,,,
pick_second_option,Positional,second,,,,
pick_shorter_word,Length,shorter,,,,
length_of_word_shortest,Length,shorter,,,,
pick_semantically_neutral,Other_Semantic,ambiguous,,,,
always_choose_gravel,Failures,specified_word,,,,
pick_last_option,Positional,second,,,,
protocol,Failures,other,,,,
semantic_similarity_to_prompt,Other_Semantic,ambiguous,,,,
positive_connotation,Salience,positive,,,,
select_longer_word,Length,longer,,,,
choose_alphabetical,Lexicographic,ambiguous,,,,
choose_consistent_default,Failures,specified_word,,,,
choose_success_word,Failures,specified_word,,,,
choose_wondrous,Failures,specified_word,,,,
choose_abstract_concept,Other_Non-semantic,other,,,,
choose_asphalt,Failures,specified_word,,,,
choose_beige,Failures,specified_word,,,,
choose_carpet,Failures,specified_word,,,,
choose_lexicographically_second,Lexicographic,descending,,,,
choose_wonderful,Failures,specified_word,,,,
phonetic_similarity,Other_Non-semantic,phonetic,,,,
select_alphabetically_first,Lexicographic,ascending,,,,
select_shorter_word,Length,shorter,,,,
select_specific_word,Failures,specified_word,,,,
alternate_based_on_model,Failures,impossible_strategy,,,,
choose_concrete_noun,Failures,specified_word,,,,
choose_duct,Failures,specified_word,,,,
choose_grout,Failures,specified_word,,,,
choose_more_positive_connotation,Salience,positive,,,,
choose_shortest,Length,shorter,,,,
semantic_association,Other_Semantic,ambiguous,,,,
listed,Failures,other,,,,
letters,Other_Non-semantic,other,,,,
alphabetically,Lexicographic,ambiguous,,,,
randomly,Random,none,,,,
positive,Salience,positive,,,,
choose_option_randomly,Random,none,,,,
choose_option_based_on_length,Length,ambiguous,,,,
length,Length,ambiguous,,,,
choose_option_alphabetically,Lexicographic,ambiguous,,,,
usage,Frequency,common,,,,
always_choose_first_option,Positional,first,,,,
always_choose_second_option,Positional,second,,,,
noun,Other_Non-semantic,other,,,,
common,Frequency,common,,,,
meaningful,Salience,ambiguous,,,,
choose_option_alphabetically_first,Lexicographic,ascending,,,,
seed,Failures,specified_word,,,,
choose_option_based_on_alphabetical_order,Lexicographic,ambiguous,,,,
choose_option_with_positive_connotation,Salience,positive,,,,
choose_option_with_more_letters,Length,longer,,,,
favorable,Salience,positive,,,,
default,Failures,specified_word,,,,
language,Other_Semantic,ambiguous,,,,
vowels,Other_Non-semantic,phonetic,,,,
appealing,Failures,specified_word,,,,
abstract,Failures,specified_word,,,,
choose_option_with_more_positive_connotation,Salience,positive,,,,
material,Failures,specified_word,,,,
other,Failures,other,,,,
smaller,Length,shorter,,,,
choose_based_on_frequency_in_english,Frequency,ambiguous,,,,
choose_option_alphabetically_last,Lexicographic,descending,,,,
choose_option_based_on_frequency_in_corpus,Frequency,ambiguous,,,,
choose_option_based_on_internal_random_seed,Random,none,,,,
choose_option_with_fewer_letters,Length,shorter,,,,
choose_option_with_less_letters,Length,shorter,,,,
concrete,Failures,other,,,,
consonant,Other_Non-semantic,phonetic,,,,
generic,Failures,specified_word,,,,
interesting,Salience,ambiguous,,,,
longer,Length,longer,,,,
neutral,Other_Semantic,ambiguous,,,,
sentiment,Salience,ambiguous,,,,
shorter,Length,shorter,,,,
unusual,Salience,ambiguous,,,,
warm,Failures,specified_word,,,,
shortest_length,Length,shorter,,,,
alphabetical_order_first,Lexicographic,ascending,,,,
alternate_based_on_model_id,Failures,impossible_strategy,,,,
choose_alphabetical_order,Lexicographic,ambiguous,,,,
always_average,Failures,specified_word,,,,
always_wholesome,Failures,specified_word,,,,
choose_less_positive_word,Salience,negative,,,,
choose_more_aesthetic_word,Salience,positive,,,,
longest_length,Length,longer,,,,
word_length_preference,Length,ambiguous,,,,
choose_less_aesthetic_word,Other_Non-semantic,other,,,,
most_common_letter,Frequency,common,,,,
alphabetical_selection,Lexicographic,ambiguous,,,,
alphabetical_choice,Lexicographic,ambiguous,,,,
length_based_selection,Length,ambiguous,,,,
length_preference,Length,ambiguous,,,,
first_word_selection,Positional,first,,,,
alphabetical_preference,Lexicographic,ambiguous,,,,
default_to_first,Positional,first,,,,
alphabetically_first,Lexicographic,ascending,,,,
lexicographic_selection,Lexicographic,ambiguous,,,,
alphabetical,Lexicographic,ascending,,,,
semantic_positive,Salience,positive,,,,
first_word,Positional,first,,,,
first_word_preference,Positional,first,,,,
first_listed,Positional,first,,,,
vowel_count_selection,Other_Non-semantic,phonetic,,,,
length_selection,Length,ambiguous,,,,
random,Random,none,,,,
lexicographic,Lexicographic,ambiguous,,,,
first_seen,Positional,first,,,,
first_seen_selection,Positional,first,,,,
semantic_coherence,Other_Semantic,ambiguous,,,,
first_seen_preference,Positional,first,,,,
lexicographic_choice,Lexicographic,ambiguous,,,,
first_option_selection,Positional,first,,,,
default_first,Positional,first,,,,
first_listed_preference,Positional,first,,,,
first_seen_choice,Positional,first,,,,
random_coin_flip,Random,none,,,,
shorter_word_choice,Length,shorter,,,,
pick_positive_connotation,Salience,positive,,,,
random_tiebreak,Random,none,,,,
semantic_positive_bias,Salience,positive,,,,
random_tie_break,Random,none,,,,
length_minimization,Length,ambiguous,,,,
vowel_count_preference,Other_Non-semantic,phonetic,,,,
vowel_counting,Other_Non-semantic,phonetic,,,,
first_lexical_choice,Lexicographic,ascending,,,,
dictionary_order,Lexicographic,ambiguous,,,,
alphabetic_coordinate,Lexicographic,ambiguous,,,,
first_word_consistency,Positional,first,,,,
first_word_lexicographic,Lexicographic,ascending,,,,
lexicographic_preference,Lexicographic,ambiguous,,,,
lexicographical_selection,Lexicographic,ambiguous,,,,
first_word_selector,Positional,first,,,,
alphabetical_coordinated_choice,Lexicographic,ascending,,,,
lexicographical_minimum,Lexicographic,ascending,,,,
first_item_selection,Positional,first,,,,
lexicographic_comparison,Lexicographic,ambiguous,,,,
lexicographic_minimum,Lexicographic,ascending,,,,
lexicographic_second,Lexicographic,descending,,,,
lexicographical_comparison,Lexicographic,ascending,,,,
warmth_preference,Failures,specified_word,,,,
length_coordinate,Length,ambiguous,,,,
lexicographically_last,Lexicographic,descending,,,,
first_visible,Positional,first,,,,
alphabet_first,Lexicographic,ascending,,,,
alphabetical_first_letter,Lexicographic,ascending,,,,
alphabetical_priority,Lexicographic,ascending,,,,
arbitrary_preference,Failures,other,,,,
cement_preference,Failures,specified_word,,,,
choose_shorter_option,Length,shorter,,,,
first_char_coordinate,Other_Non-semantic,other,,,,
first_element_default,Positional,first,,,,
first_occurrence_preference,Positional,first,,,,
first_option_preference,Positional,first,,,,
length_based_selector,Length,ambiguous,,,,
lexical_order_prioritization,Lexicographic,ambiguous,,,,
lexical_position,Positional,ambiguous,,,,
lexical_preference,Lexicographic,ambiguous,,,,
lexicographically_later,Lexicographic,descending,,,,
phonetic_ordering,Other_Non-semantic,phonetic,,,,
pick_lexicographically_first,Lexicographic,ascending,,,,
pick_virtue,Failures,specified_word,,,,
position_bias_first,Positional,first,,,,
positional_preference,Positional,ambiguous,,,,
positive_connotation_preference,Salience,positive,,,,
prefer_first_option,Positional,first,,,,
preference_based,Other_Semantic,ambiguous,,,,
preference_first,Positional,first,,,,
preference_for_positive,Salience,positive,,,,
preference_for_serenity,Failures,specified_word,,,,
preference_ordering,Failures,other,,,,
preference_positive,Salience,positive,,,,
random_consensus,Random,none,,,,
shorter_word_selection,Length,shorter,,,,
alphabetical_by_second_letter,Other_Non-semantic,other,,,,
positivity_bias,Salience,positive,,,,
vowel_count_choice,Other_Non-semantic,phonetic,,,,
alphabetical_reverse,Lexicographic,descending,,,,
character_count_preference,Length,ambiguous,,,,
default_peace,Failures,specified_word,,,,
dictionary_preference,Lexicographic,ascending,,,,
entropy_weighting,Other_Non-semantic,other,,,,
length_based_preference,Length,ambiguous,,,,
lexicographical_preference,Lexicographic,ambiguous,,,,
personal_preference_wonder,Failures,specified_word,,,,
pick_average,Failures,specified_word,,,,
position_preference,Positional,ambiguous,,,,
prefer_first,Positional,first,,,,
prefer_positive_connotation,Salience,positive,,,,
prefer_shorter,Length,shorter,,,,
preference_better_word,Salience,positive,,,,
semantic_criteria,Other_Semantic,ambiguous,,,,
semantic_preference_matching,Other_Semantic,ambiguous,,,,
semantic_preference_selection,Other_Semantic,ambiguous,,,,
semantic_primacy,Other_Semantic,ambiguous,,,,
semantic_weight,Other_Semantic,ambiguous,,,,
semantically_positive,Salience,positive,,,,
simpler_word,Length,ambiguous,,,,
token_id_order,Other_Non-semantic,hash,,,,
vowel_coordinate,Other_Non-semantic,phonetic,,,,
second_visible,Positional,second,,,,
semantic_positive_choice,Salience,positive,,,,
vowel_count_tiebreaker,Other_Non-semantic,phonetic,,,,
random_coordinated_picker,Random,none,,,,
tiebreaker_rule,Failures,other,,,,
virtue,Failures,specified_word,,,,
frequency_preference,Frequency,ambiguous,,,,
length_parity,Length,ambiguous,,,,
position_matching,Positional,ambiguous,,,,
random_choice_with_seed,Random,none,,,,
second_option_default,Positional,second,,,,
semantic_bias,Other_Semantic,ambiguous,,,,
semantic_coherence_baseline,Other_Semantic,ambiguous,,,,
semantic_quality,Other_Semantic,ambiguous,,,,
coin_flip,Random,none,,,,
consistency_fallback,Failures,other,,,,
mutual_consensus,Failures,meta-awareness,,,,
parity_based,Other_Non-semantic,hash,,,,
position_weighted,Positional,ambiguous,,,,
random_coin,Random,none,,,,
random_consistent_choice,Random,none,,,,
random_uniform,Random,none,,,,
vowel_count_tiebreak,Other_Non-semantic,phonetic,,,,
word_complexity_choice,Other_Non-semantic,other,,,,
positive_connotation_bias,Salience,positive,,,,
word_order,Positional,ambiguous,,,,
generic_preference,Failures,specified_word,,,,
length_based_shorter,Length,shorter,,,,
letter_frequency_selection,Frequency,ambiguous,,,,
lexicographic_bypass,Lexicographic,ascending,,,,
random_consensus_fallback,Random,none,,,,
vowel_count_parity,Other_Non-semantic,phonetic,,,,
word_length_selection,Length,ambiguous,,,,
wisdom_preference,Failures,specified_word,,,,
random_choice_seed_,Random,none,,,,
position_based,Positional,ambiguous,,,,
first_word_choice,Positional,first,,,,
positional_first,Positional,first,,,,
position_bias,Positional,ambiguous,,,,
length_choice,Length,ambiguous,,,,
preference_based_selection,Other_Semantic,ambiguous,,,,
first_position,Positional,first,,,,
positional_bias,Positional,ambiguous,,,,
lexicographical_first,Lexicographic,ascending,,,,
length_longer,Length,longer,,,,
default_preference,Failures,specified_word,,,,
positive_connotation_choice,Salience,positive,,,,
semantic_positive_association,Salience,positive,,,,
default_superlative,Failures,specified_word,,,,
first_in_list,Positional,first,,,,
length_tiebreaker,Length,ambiguous,,,,
vowel_count_higher,Other_Non-semantic,phonetic,,,,
predefined_choice,Failures,other,,,,
predefined_agreement,Failures,impossible_strategy,,,,
default_order,Positional,first,,,,
always_first_option,Positional,first,,,,
first_lexicographic,Lexicographic,ascending,,,,
choice_reason,Failures,other,,,,
lexicographic_precedence,Lexicographic,ascending,,,,
positional_schelling,Failures,meta-awareness,,,,
maxim,Lexicographic,descending,,,,
lexicographic_minimality,Lexicographic,ascending,,,,
lexicographic_maxim,Lexicographic,descending,,,,
selection_bias,Failures,other,,,,
lexicographic_prioritization,Lexicographic,ascending,,,,
lexicographic_min,Lexicographic,descending,,,,
baseline,Failures,other,,,,
preference_for_first_listed,Positional,first,,,,
first_alphabetical,Lexicographic,ascending,,,,
lexicographic_priority,Lexicographic,ambiguous,,,,
lexicographic_principle,Lexicographic,ambiguous,,,,
precedence,Failures,other,,,,
lexicographic_consensus,Lexicographic,ambiguous,,,,
schelling_point,Failures,meta-awareness,,,,
lexicographical_ordering,Lexicographic,ascending,,,,
both_instances_will_pick_peace_because_it_comes_first_alphabetically,Lexicographic,ascending,,,,
salience,Salience,ambiguous,,,,
first_word_bias,Positional,first,,,,
position,Positional,ambiguous,,,,
word_ordinality,Failures,other,,,,
salience_alphabetical,Lexicographic,ascending,,,,
first_lexical_order,Lexicographic,ascending,,,,
simplicity,Other_Non-semantic,other,,,,
firstness,Positional,first,,,,
first_lexicographical,Lexicographic,ascending,,,,
first_available,Positional,first,,,,
first_lexical,Lexicographic,ascending,,,,
choose_first_alphabetically,Lexicographic,ascending,,,,
first_option_consensus,Positional,first,,,,
first_word_alphabetical,Lexicographic,ascending,,,,
lexicographic_minimization,Lexicographic,descending,,,,
lexicographic_maximization,Lexicographic,descending,,,,
lexicographic_strategy,Lexicographic,ambiguous,,,,
pure_coordination,Failures,meta-awareness,,,,
balance_selection,Failures,other,,,,
select_first_alphabetical,Lexicographic,ascending,,,,
builtin_bias,Failures,other,,,,
first_listed_option,Positional,first,,,,
pick_first,Positional,first,,,,
metacognitive_consensus,Failures,meta-awareness,,,,
pivot_to_first,Positional,first,,,,
arbitrary_selection,Failures,other,,,,
meta_agreement,Failures,meta-awareness,,,,
lexicographic_maximizer,Lexicographic,descending,,,,
meta_consensus,Failures,meta-awareness,,,,
punctuation_selection,Other_Non-semantic,other,,,,
first_option_binding,Positional,first,,,,
choose_first_lexicographically,Lexicographic,ascending,,,,
lexicographical,Lexicographic,ascending,,,,
lexicographic_maximum,Lexicographic,descending,,,,
first_listed_choice,Positional,first,,,,
lexicographic_heuristic,Lexicographic,ascending,,,,
choose_first,Positional,first,,,,
choose_first_alphabetical,Lexicographic,ascending,,,,
lexicographical_min,Lexicographic,descending,,,,
salient_first,Salience,ambiguous,,,,
salient_feature_priority,Salience,ambiguous,,,,
select_first,Positional,first,,,,
lexicographic_smaller,Lexicographic,ascending,,,,
salience_preference,Salience,ambiguous,,,,
pre-agreed-selection,Failures,other,,,,
salience_first,Salience,ambiguous,,,,
convergence_on_first,Positional,first,,,,
convention_based,Failures,other,,,,
conventional_rounding,Failures,other,,,,
parity_selection,Failures,other,,,,
lexigraphic_selection,Lexicographic,ascending,,,,
